"time","I0","Ii","Iy"
2.82,300,-132.09977926797177,347.20127784694824
2.84,300,-132.04685625888507,347.13945219595456
2.86,300,-131.9942112811805,347.07795323247933
2.88,300,-131.94184277791874,347.01677924130144
2.9,300,-131.88974920137477,346.9559285175317
2.92,300,-131.83792901303815,346.8953993666122
2.94,300,-131.78638068361272,346.83519010431695
2.96,300,-131.7351046851149,346.77529890590887
2.98,300,-131.6841023970276,346.7157238889659
3,300,-131.63336921784563,346.6564636349795
3.02,300,-131.582903859821,346.59751648555044
3.04,300,-131.53270505381974,346.53888079189954
3.06,300,-131.4827715493218,346.4805549148675
3.08,300,-131.43310211442102,346.42253722491495
3.1,300,-131.3836955358251,346.3648261021223
3.12,300,-131.33455061885567,346.30741993618983
3.14,300,-131.28566618744827,346.25031712643766
3.16,300,-131.23704108415234,346.1935160818058
3.18,300,-131.1886741701312,346.1370152208541
3.2,300,-131.1405643251622,346.0808129717624
3.22,300,-131.09271009687825,346.02490774861326
3.24,300,-131.04510396946424,345.96929756386425
3.26,300,-130.99774973807317,345.91398120313704
3.28,300,-130.95064613169745,345.85895711786094
3.3,300,-130.9037918874617,345.80422376837674
3.32,300,-130.85718575062256,345.74977962393564
3.34,300,-130.81082647456887,345.6956231627003
3.36,300,-130.76471282082147,345.64175287174476
3.38,300,-130.7188435590334,345.5881672470537
3.4,300,-130.67321746698977,345.5348647935233
3.42,300,-130.62783333060779,345.48184402496065
3.44,300,-130.58268994393686,345.4291034640841
3.46,300,-130.53778610915836,345.3766416425229
3.48,300,-130.49312063658587,345.3244571008177
3.5,300,-130.44868936446406,345.27254804595293
3.52,300,-130.40449225802902,345.22091316713943
3.54,300,-130.36052880915702,345.1695511071685
3.56,300,-130.31679772839772,345.11846042702325
3.58,300,-130.27329772847415,345.0676396959126
3.6,300,-130.23002752428224,345.01708749127204
3.62,300,-130.18698583289137,344.9668023987636
3.64,300,-130.14417137354386,344.9167830122752
3.66,300,-130.10158286765537,344.86702793392146
3.68,300,-130.0592190388147,344.81753577404334
3.7,300,-130.01707861278368,344.76830515120827
3.72,300,-129.97516031749748,344.7193346922096
3.74,300,-129.93346288306444,344.67062303206757
3.76,300,-129.89198608843068,344.6221687062509
3.78,300,-129.85072927281703,344.57397030395816
3.8,300,-129.80969031428407,344.526026573297
3.82,300,-129.7688680695933,344.47833617004625
3.84,300,-129.72826140710302,344.4308977572404
3.86,300,-129.6878692070925,344.38371000513723
3.88,300,-129.64769036208617,344.336771591183
3.9,300,-129.60772377717836,344.29008119998
3.92,300,-129.5679683703571,344.24363752325314
3.94,300,-129.52842307282884,344.1974392598162
3.96,300,-129.4890868293426,344.1514851155385
3.98,300,-129.44995859851412,344.1057738033117
4,300,-129.41103735315053,344.0603040430164
4.02,300,-129.3723220805745,344.01507456148835
4.04,300,-129.3338117829483,343.97008409248554
4.06,300,-129.29550547759862,343.9253313766546
4.08,300,-129.25740219734053,343.88081516149737
4.1,300,-129.2195009908019,343.83653420133743
4.12,300,-129.18180092274756,343.7924872572872
4.14,300,-129.14430107440396,343.7486730972136
4.16,300,-129.1070005437832,343.70509049570575
4.18,300,-129.06989844600736,343.6617382340405
4.2,300,-129.032993913633,343.6186151001503
4.22,300,-128.9962860969753,343.5757198885885
4.24,300,-128.95977416443242,343.53305140049656
4.26,300,-128.92345730280988,343.49060844357103
4.28,300,-128.8873347176448,343.44838983202925
4.3,300,-128.85139148061583,343.4063940120729
4.32,300,-128.81563658434206,343.36462006882334
4.34,300,-128.78007034082373,343.3230668636017
4.36,300,-128.7446917025342,343.28173322761177
4.38,300,-128.70949962382917,343.24061799792327
4.4,300,-128.6744930608108,343.19972001742553
4.42,300,-128.6396709711913,343.15903813478275
4.44,300,-128.6050323141569,343.11857120438725
4.46,300,-128.57057605023158,343.0783180863152
4.48,300,-128.53630114114105,343.0382776462803
4.5,300,-128.50220654967623,342.99844875558784
4.52,300,-128.46829123955757,342.95883029109035
4.54,300,-128.4345541752984,342.91942113514085
4.56,300,-128.40099432206907,342.88022017554766
4.58,300,-128.36761064556066,342.8412263055291
4.6,300,-128.3344021118487,342.8024384236673
4.62,300,-128.30136768725737,342.7638554338635
4.64,300,-128.26850633822278,342.7254762452912
4.66,300,-128.23581703115718,342.6872997723522
4.68,300,-128.20329873231276,342.6493249346294
4.7,300,-128.1709504076453,342.61155065684267
4.72,300,-128.13877102267813,342.5739758688017
4.74,300,-128.10676624769792,342.53659985289175
4.76,300,-128.0749339702324,342.49942149316206
4.78,300,-128.04326974389747,342.462439557696
4.8,300,-128.01177273678317,342.4256530068695
4.82,300,-127.98044212636337,342.3890608064657
4.84,300,-127.94927709959605,342.3526619276411
4.86,300,-127.91827685302387,342.31645534689255
4.88,300,-127.88744059287453,342.2804400460235
4.9,300,-127.8567675351612,342.24461501211107
4.92,300,-127.82625690578286,342.20897923747276
4.94,300,-127.79590794062493,342.1735317196329
4.96,300,-127.76571988565938,342.13827146128943
4.98,300,-127.73569199704541,342.1031974702806
5,300,-127.70582354122976,342.06830875955154
5.02,300,-127.67611379504719,342.0336043471213
5.04,300,-127.64656204582073,341.999083256049
5.06,300,-127.61716759146235,341.9647445144008
5.08,300,-127.58792974057317,341.93058715521676
5.1,300,-127.55884781254402,341.89661021647703
5.12,300,-127.52992113765578,341.86281274106926
5.14,300,-127.50114905717977,341.8291937767543
5.16,300,-127.47253092347829,341.7957523761339
5.18,300,-127.44406220306816,341.76248769217915
5.2,300,-127.41573760034902,341.72939890160046
5.22,300,-127.38756281310435,341.69648491655
5.24,300,-127.35953703377706,341.66374481369184
5.26,300,-127.33165945632449,341.63117767461137
5.28,300,-127.30392927610363,341.5987825857862
5.3,300,-127.27634568975637,341.56655863855934
5.32,300,-127.24890789509458,341.5345049291108
5.34,300,-127.22161509098531,341.502620558429
5.36,300,-127.19446647723619,341.4709046322834
5.38,300,-127.1674612544803,341.439356261196
5.4,300,-127.14059862406158,341.40797456041383
5.42,300,-127.11387778791999,341.3767586498801
5.44,300,-127.08729794847666,341.34570765420716
5.46,300,-127.06085830851896,341.31482070264747
5.48,300,-127.03455807108598,341.28409692906644
5.5,300,-127.00839643935348,341.25353547191355
5.52,300,-126.98237261651917,341.2231354741951
5.54,300,-126.95648580568788,341.1928960834456
5.56,300,-126.93073520975675,341.16281645170005
5.58,300,-126.90512003130044,341.13289573546575
5.6,300,-126.87963947245629,341.103133095694
5.62,300,-126.85429313685466,341.0735277034834
5.64,300,-126.82908516592201,341.0440787990074
5.66,300,-126.80401047887669,341.0147854953657
5.68,300,-126.77906837212562,340.98564697239163
5.7,300,-126.75425814582084,340.9566624142904
5.72,300,-126.72957910384513,340.9278310096125
5.74,300,-126.70503055379702,340.8991519512269
5.76,300,-126.68061180697644,340.87062443629475
