"time","C","I","G"
47.2,1416.2772252594214,508.75680631485534,300
47.4,1416.2762929507985,508.7565732376995,300
47.6,1416.275391838984,508.756347959746,300
47.8,1416.2745205484764,508.75613013711904,300
48,1416.273678168439,508.7559195421097,300
48.2,1416.272865362152,508.7557163405379,300
48.4,1416.2720798814755,508.7555199703688,300
48.6,1416.271320781811,508.75533019545276,300
48.8,1416.2705871686987,508.7551467921746,300
49,1416.2698781978156,508.7549695494538,300
49.2,1416.2691930749756,508.7547982687439,300
49.4,1416.2685310561333,508.7546327640332,300
49.6,1416.2678914473777,508.7544728618443,300
49.8,1416.267273604936,508.75431840123395,300
50,1416.266676935175,508.7541692337936,300
50,1416.266676935175,508.7541692337936,300
